for,clave_de_mapa,numero_historico,proyecto,nombre_analisis,estatus_analisis,gerencia,gerencias_complementaria,responsable_tecnico_y_participantes,tematica_principal_LGAHOTDU,tematicas_secundarias_LGAHOTDU,tipo_analisis,Otros,insumos consultados,Fuente,Tipo de información,estadistica,nota_metodologica,liga_drive,Image id,Ficha,Buscar,color
14-ene-17,I-007,1,POTmet,Estaciones de monitoreo y calidad del agua,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,GIA,,Base,,,,,,,https://drive.google.com/open?id=12MyF68RN7U7CvMjFswOBMhmKOaeCMBED,,,,
15-ene-17,I-008,1,POTmet,Cobertura y red de agua potable ,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,GIA,,Diagnóstico,,,,,,,https://drive.google.com/file/d/1vRZUSrPz9yQg3MeWtD4Oi1l94_tDqRls/view?usp=sharing,,,,
26-feb-21,I-009,2,POTmet,COBERTURA E INFRAESTRUCTURA DE DRENAJE SANITARIO EN EL AMG - 2021,Validado,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Cuauhtémoc,PMR,GIA,Diagnóstico,,Cobertura e infraestructura de drenaje municipal y de SIAPA ,"Cobertura e infraestructura de drenaje sanitario municipal v2
Cobertura e infraestructura de drenaje sanitario SIAPA 2018",,https://drive.google.com/file/d/1dqdbgnIGYR9DJOhsP7rM99_vftsZkjMt/view?usp=sharing,https://drive.google.com/file/d/1WWZB68BKC_6oGt9XiqLIGtdQ-_K9Dr4t/view?usp=sharing,https://drive.google.com/file/d/1pycPV4j1ZNLnlMG16o4dEwiTd6GKbsjf/view?usp=sharing,,,,
16-ene-17,I-009,1,POTmet,Cobertura y red de drenaje en el AMG,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,GIA,,Base,,,,,,,https://drive.google.com/open?id=1J-1FlBI3HOIuV7OFRbMa-ZM5kL8A6Xl-,,,,
08-feb-17,I-009.1,1,POTmet,Cobertura de alcantarillado y red de colectores,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,GIA,,Diagnóstico,,,,,,,https://drive.google.com/file/d/1bGO5llTIOUBuFolU9-Dn2EZqMybQhyWs/view?usp=sharing,,,,
17-ene-17,I-010,1,POTmet,Aptitud de urbanización por distancia a servicios de agua potable y drenaje,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,GIA,,Diagnóstico,,,,,,,https://drive.google.com/open?id=1FF1VkqlEDC9Dsd67aXrOgg-MurdRue-z,,,,
18-ene-17,I-011,1,POTmet,Hidrografía,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,GIA,,Base,,,,,,,https://drive.google.com/open?id=1dtQrzH5fwEb802x10D43RpEcgo4EF9Ef,,,,
17-jul-17,I-012,1,Atlas de Riesgos,Zona de influencia de agua potable,En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,,GIA,,Diagnóstico,,,,,,,https://drive.google.com/open?id=130fNH69qCTsGsRv3G3ztdZWMCU1ajiSs,,,,
22-feb-21,I-013,2,POTmet,ESPACIOS VERDES Y CUERPOS DE AGUA,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,Ivan Hernández,PRE,,Diagnóstico,,,,,https://drive.google.com/file/d/1CL8cuc6rWzQON1VKF5XyoFDINR5HMCZE/view?usp=sharing,https://drive.google.com/file/d/1IJxFUipE78oG7hNDgTUGJk3AVAtobjo3/view?usp=sharing,https://drive.google.com/file/d/1jaWYrC9ip0den30NADHzzha9SI1hVltr/view?usp=sharing,,,,
19-ene-17,I-013,1,POTmet,Espacios verdes y cuerpos de agua (macroperspectativa),En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,PMR,,Base,,,,,,,https://drive.google.com/open?id=1ZjdnYTRv1Mu9ZubNbKEmNBoogurd4UxI,,,,
30-nov-15,I-013.1,1,POTmet,Espacios verdes y cuerpos de agua macroperspectativa AMG,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,PMR,,Base,,,,,,,https://drive.google.com/file/d/1olL26siN-eU7Wag894HUM-cJxRy0cjiS/view?usp=sharing,,,,
30-nov-15,I-014,1,Atlas de Riesgos,Aptitud de urbanización por riesgos de inundación,En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,,PMR,,Diagnóstico,,,,,,,https://drive.google.com/file/d/1koYbdCjF_Cb6XLPL0j1NZdz2SS2kcKSl/view?usp=sharing,,,,
20-ene-17,I-014,2,Atlas de Riesgos,Aptitud de urbanización por riesgos de inundación,En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,,PMR,,Diagnóstico,,,,,,,https://drive.google.com/open?id=1JUo07UcSU4IwWigZLgjpQYgPqMNswE_9,,,,
