for,clave_de_mapa,numero_historico,proyecto,nombre_analisis,estatus_analisis,gerencia,gerencias_complementaria,responsable_tecnico_y_participantes,tematica_principal_LGAHOTDU,tematicas_secundarias_LGAHOTDU,tipo_analisis,Otros,insumos consultados,Fuente,Tipo de información,estadistica,nota_metodologica,liga_drive,Image id,Ficha,Buscar,color
10-sep-21,I-348.9,10,Atlas de Riesgos,Inundaciones y Afectaciones Desglosadas Agosto 2021,Validado,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Laura Guzmán,PMR,,Diagnóstico,,,VIMOZmetro 2021,Registros de servicios de emergencia,https://docs.google.com/spreadsheets/d/1EQXDNMYeFVhThUL_aj4UewULrZlCv3GfR0l3InfrKN8/edit?usp=sharing,https://drive.google.com/file/d/1mMrrby7wsTzohPW6hf4MzAvN-a2DxLy5/view?usp=sharing,https://drive.google.com/file/d/1mMrrby7wsTzohPW6hf4MzAvN-a2DxLy5/view?usp=sharing,,,,
09-feb-21,I-349,1,POTmet,COBERTURAS DEL SUELO AL AÑO BASE 2016,En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Juan Pablo Jiménez,POT,,Diagnóstico,,Cobertura de suelo de Jalisco al año base 2016,Cobertura de suelo de Jalisco al año base 2016 SEMADET & CONAFOR 2016,Pública,https://drive.google.com/file/d/1t1m7903PDUKI7mt-xbKeIspZDxoGOvVI/view?usp=sharing,https://drive.google.com/file/d/1XcQlMwK2PxiEpX4OUXQZSyMUUri6H5P6/view?usp=sharing,https://drive.google.com/file/d/1CdXy7hYU5DkuHOf19BST7OQKDfzrW--a/view?usp=sharing,,,,
21-jun-21,I-350,1,PDM,HUERTOS URBANOS Y PERIURBANOS  DEL AMG ,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,Stephanie López Lomelí,PRE,,Diagnóstico,,Localización de huertos urbanos y periurbanos 2021,Ayuntamientos de los municipios del Área Metropolitana de Guadalajara 2021,Pública,https://drive.google.com/file/d/1uRnq81hlr-dBAkmfTBmPGHPj9aRs6urQ/view?usp=sharing,https://drive.google.com/file/d/1kfcO_X3c2GotrGTOv4EGDLeJfCCgqPsk/view?usp=sharing,https://drive.google.com/file/d/1leS-Qw03w1WY4KKt_s1cX4F6DTaRZMfz/view?usp=sharing,,,,
16-jul-21,I-350,2,PDM,HUERTOS URBANOS Y PERIURBANOS  DEL AMG ,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,Stephanie López Lomelí,PRE,,Diagnóstico,,Localización de huertos urbanos y periurbanos 2022,Ayuntamientos de los municipios del Área Metropolitana de Guadalajara 2022,Pública,https://drive.google.com/file/d/1uRnq81hlr-dBAkmfTBmPGHPj9aRs6urQ/view?usp=sharing,https://drive.google.com/file/d/1HPLnEvBkrmBxxKMJctpP63MykM9bxqwX/view?usp=sharing,https://drive.google.com/file/d/1_eUqXKvr-NrT6GFgZk6-5Iou9YnScQLB/view?usp=sharing,,,,
22-jul-21,I-351,1,POTmet,INVERNADEROS E INFRAESTRUCTURA VIAL PARA ACTIVIDADES RURALES EN  EL AMG,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,Víctor Galindo,POT,,Diagnóstico,,,,,https://docs.google.com/spreadsheets/d/1lFmpw5fTdQnSp2_GrwIMS3UqlQDRsoAxZ3BELQrI20I/edit#gid=0,,https://drive.google.com/file/d/1l0sIYB7uTHNOOwojbeS4nO1cgn9ecFG1/view?usp=sharing,,,,
28/09/2021,I-351,1,POTmet,EVENTOS DE INUNDACIONES EN LOS SITIOS DE MONITOREO DE INUNDACIÓN 2021,En proceso,(GTGIR)Gerencia Técnica de Gestión Integral del Riesgos.,,Cuauhtémoc Aquiles,POT,,Diagnóstico,,"Sitios de monitoreo de inundación
Reporte de inundaciones de notas períodisticas 2021
Registros de inundaciones VIMOZmetro 2021","Sitios de monitoreo de inundación, GTI 2021
Reporte de inundaciones de notas períodisticas 2021
Registros de inundaciones VIMOZmetro 2021",Pública,,,,,,,
,I-352,1,POTmet,"Rutas del Programa General de Transporte Corredor T08 ""Américas""",En proceso,(GTM) Gerencia Técnica de Movilidad.,,,IVT,,Estrategia,No se encontro,,"Levantamiento de rutas de transporte público, 2014, imtj.
interpretación de las propuestas del programa general de transporte del estado de jalisco, setran, 2019.
contrapropuesta de la troncal 05, setran, 2019.",,,REPRESENTACIÓN CARTOGRÁFICA A TRAVÉS DE VECTORES LINEALES,,,,,
,I-353,1,POTmet,"Rutas operando en el  Corredor T08 ""Américas""",En proceso,(GTM) Gerencia Técnica de Movilidad.,,,IVT,,Estrategia,No se encontro,,"Levantamiento de rutas de transporte público, 2014, imtj.
interpretación de las propuestas del programa general de transporte del estado de jalisco, setran, 2019.
contrapropuesta de la troncal 05, setran, 2019.",,,REPRESENTACIÓN CARTOGRÁFICA A TRAVÉS DE VECTORES LINEALES,,,,,
,I-354,1,POTmet,Análisis Fotogramétrico del Crecimiento Urbano en el Corredor de El Verde,En proceso,(GTM) Gerencia Técnica de Movilidad.,,,IVT,,Diagnóstico,No se encontro,,"Levantamiento de rutas de transporte público, 2014, imtj.
interpretación de las propuestas del programa general de transporte del estado de jalisco, setran, 2019.
contrapropuesta de la troncal 05, setran, 2019.",,,REPRESENTACIÓN CARTOGRÁFICA A TRAVÉS DE VECTORES LINEALES,,,,,
,I-355,1,POTmet,"Rutas operando en el Corredor Troncal T19 ""Peribús""",En proceso,(GTM) Gerencia Técnica de Movilidad.,,,IVT,,Estrategia,No se encontro,,"Levantamiento de rutas de transporte público, 2014, imtj.
interpretación de las propuestas del programa general de transporte del estado de jalisco, setran, 2019.
contrapropuesta de la troncal 05, setran, 2019.",,,REPRESENTACIÓN CARTOGRÁFICA A TRAVÉS DE VECTORES LINEALES,,,,,
,I-356,1,POTmet,"INFRAESTRUCTURA Y ZONAS
PARA EL TRANSPORTE DE CARGA
EN EL MUNICIPIO DE ZAPOTLANEJO",En proceso,(GTM) Gerencia Técnica de Movilidad.,,,IVT,,Estrategia,No se encontro,,Coordinación de Proyectos Estratégicos del municipio de Zapotlanejo,,,"REPRESENTACIÓN CARTOGRÁFICA A TRAVÉS DE VECTORES LINEALES, POLÍGONOS Y PUNTOS.",,,,,
,I-357,1,POTmet,"Rutas operando en el Corredor Troncal T19 ""Peribús""",En proceso,(GTM) Gerencia Técnica de Movilidad.,,,IVT,,Estrategia,No se encontro,,"Levantamiento de rutas de transporte público, 2014, imtj.
interpretación de las propuestas del programa general de transporte del estado de jalisco, setran, 2019.
contrapropuesta de la troncal 05, setran, 2019.",,,REPRESENTACIÓN CARTOGRÁFICA A TRAVÉS DE VECTORES LINEALES,,,,,
,I-358,1,POTmet,ACCIDENTES VIALES  CORREDORES PRINCIPALES 2018,En proceso,(GTGIR)Gerencia Técnica de Gestión Integral del Riesgos.,(GTM) Gerencia Técnica de Movilidad.,,PMR,IVT,Diagnóstico,No se encontro,,"SETRAN, 2018",,,REPRESENTACIÓN CARTOGRÁFICA A TRAVÉS DE VECTORES LINEALES,,,,,
,I-359,1,POTmet,ACCIDENTES VIALES PEATONES 2018,En proceso,(GTGIR)Gerencia Técnica de Gestión Integral del Riesgos.,(GTM) Gerencia Técnica de Movilidad.,,PMR,IVT,Diagnóstico,No se encontro,,"SETRAN, 2018",,,REPRESENTACIÓN CARTOGRÁFICA A TRAVÉS DE VECTORES LINEALES,,,,,
,I-360,1,POTmet,ACCIDENTES VIALES CICLISTAS 2018,En proceso,(GTGIR)Gerencia Técnica de Gestión Integral del Riesgos.,(GTM) Gerencia Técnica de Movilidad.,,PMR,IVT,Diagnóstico,No se encontro,,"SETRAN, 2018",,,REPRESENTACIÓN CARTOGRÁFICA A TRAVÉS DE VECTORES LINEALES,,,,,
,I-361,1,POTmet,ACCIDENTES VIALES  CORREDORES PRINCIPALES 2017,En proceso,(GTGIR)Gerencia Técnica de Gestión Integral del Riesgos.,(GTM) Gerencia Técnica de Movilidad.,,PMR,IVT,Diagnóstico,No se encontro,,"SETRAN, 2017",,,REPRESENTACIÓN CARTOGRÁFICA A TRAVÉS DE VECTORES LINEALES,,,,,
,I-362,1,POTmet,ACCIDENTES VIALES PEATONES 2017,En proceso,(GTGIR)Gerencia Técnica de Gestión Integral del Riesgos.,(GTM) Gerencia Técnica de Movilidad.,,PMR,IVT,Diagnóstico,No se encontro,,"SETRAN, 2017",,,REPRESENTACIÓN CARTOGRÁFICA A TRAVÉS DE VECTORES LINEALES,,,,,
,I-363,1,POTmet,ACCIDENTES VIALES CICLISTAS 2017,En proceso,(GTGIR)Gerencia Técnica de Gestión Integral del Riesgos.,(GTM) Gerencia Técnica de Movilidad.,,PMR,IVT,Diagnóstico,No se encontro,,"SETRAN, 2017",,,REPRESENTACIÓN CARTOGRÁFICA A TRAVÉS DE VECTORES LINEALES,,,,,
,I-364,1,POTmet,ACCIDENTES VIALES 2016,En proceso,(GTGIR)Gerencia Técnica de Gestión Integral del Riesgos.,(GTM) Gerencia Técnica de Movilidad.,,PMR,IVT,Diagnóstico,No se encontro,,"SETRAN, 2016",,,REPRESENTACIÓN CARTOGRÁFICA A TRAVÉS DE VECTORES LINEALES,,,,,
,I-365,1,POTmet,ACCIDENTES VIALES PEATONES 2016,En proceso,(GTGIR)Gerencia Técnica de Gestión Integral del Riesgos.,(GTM) Gerencia Técnica de Movilidad.,,PMR,IVT,Diagnóstico,No se encontro,,"SETRAN, 2016",,,REPRESENTACIÓN CARTOGRÁFICA A TRAVÉS DE VECTORES LINEALES,,,,,
,I-366,1,POTmet,ACCIDENTES VIALES CICLISTAS 2016,En proceso,(GTGIR)Gerencia Técnica de Gestión Integral del Riesgos.,(GTM) Gerencia Técnica de Movilidad.,,PMR,IVT,Diagnóstico,No se encontro,,"SETRAN, 2016",,,REPRESENTACIÓN CARTOGRÁFICA A TRAVÉS DE VECTORES LINEALES,,,,,
,I-367,1,POTmet,ACCIDENTES VIALES  CORREDORES PRINCIPALES 2015,En proceso,(GTGIR)Gerencia Técnica de Gestión Integral del Riesgos.,(GTM) Gerencia Técnica de Movilidad.,,PMR,IVT,Diagnóstico,No se encontro,,"SETRAN, 2015",,,REPRESENTACIÓN CARTOGRÁFICA A TRAVÉS DE VECTORES LINEALES,,,,,
,I-368,1,POTmet,ACCIDENTES VIALES PEATONES 2015,En proceso,(GTGIR)Gerencia Técnica de Gestión Integral del Riesgos.,(GTM) Gerencia Técnica de Movilidad.,,PMR,IVT,Diagnóstico,No se encontro,,"SETRAN, 2015",,,REPRESENTACIÓN CARTOGRÁFICA A TRAVÉS DE VECTORES LINEALES,,,,,
,I-369,1,POTmet,ACCIDENTES VIALES CICLISTAS 2015,En proceso,(GTGIR)Gerencia Técnica de Gestión Integral del Riesgos.,(GTM) Gerencia Técnica de Movilidad.,,PMR,IVT,Diagnóstico,No se encontro,,"SETRAN, 2016",,,REPRESENTACIÓN CARTOGRÁFICA A TRAVÉS DE VECTORES LINEALES,,,,,
,I-370,1,POTmet,ACCIDENTES VIALES  CORREDORES PRINCIPALES 2014,En proceso,(GTGIR)Gerencia Técnica de Gestión Integral del Riesgos.,(GTM) Gerencia Técnica de Movilidad.,,PMR,IVT,Diagnóstico,,,"SETRAN, 2014",,,REPRESENTACIÓN CARTOGRÁFICA A TRAVÉS DE VECTORES LINEALES,,,,,
,I-371,1,Atlas de Riesgos,REGISTRO DE EVENTOS HISTÓRICOS DE INUNDACIONES POR MICROCUENCA,En proceso,(GTGIR)Gerencia Técnica de Gestión Integral del Riesgos.,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,Cuauhtémoc Aquiles,PMR,GIA,Diagnóstico,,"Inventario de peligros metropolitano febrero 2020
Sitios recurrentes de inundaciòn","IPM, 2020",Pública,,NÚMERO DE INUNDACIONES POR MICCROCUENCA,https://drive.google.com/open?id=1LGf3Z1r18KVjdhhTJFRC6oZRYCVrAWOd,,,,
23-jul-21,I-372,1,POTmet,"ESPACIO VERDE, ABIERTO Y RECREATIVO",En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,Víctor Galindo,PRE,,Diagnóstico,,,,,https://docs.google.com/spreadsheets/d/1BbfLKvmamTdJNVGDDrgKSmLRgqXZ1QIVpqaIMAvkm6Q/edit#gid=0,,https://drive.google.com/file/d/1V6WLsZWUdHo9lswodM0nIoL68RIWGrZF/view?usp=sharing,,,,
,I-373,1,Atlas de Riesgos,ACCIDENTES VIALES  CORREDORES PRINCIPALES 2014-2018 PROMEDIO,En proceso,(GTGIR)Gerencia Técnica de Gestión Integral del Riesgos.,(GTM) Gerencia Técnica de Movilidad.,,PMR,IVT,Diagnóstico,No se encontro,,"SETRAN, 2014-2018",,,REPRESENTACIÓN CARTOGRÁFICA A TRAVÉS DE VECTORES LINEALES,,,,,
,I-374,1,Atlas de Riesgos,ACCIDENTES VIALES  CORREDORES PRINCIPALES 2014-2018 SUMA,En proceso,(GTGIR)Gerencia Técnica de Gestión Integral del Riesgos.,(GTM) Gerencia Técnica de Movilidad.,,PMR,IVT,Diagnóstico,No se encontro,,"SETRAN, 2014-2018",,,REPRESENTACIÓN CARTOGRÁFICA A TRAVÉS DE VECTORES LINEALES,,,,,
,I-375,1,Atlas de Riesgos,ACCIDENTES VIALES PEATONES 2014-2018,En proceso,(GTGIR)Gerencia Técnica de Gestión Integral del Riesgos.,(GTM) Gerencia Técnica de Movilidad.,,PMR,IVT,Diagnóstico,No se encontro,,"SETRAN, 2014-2018",,,REPRESENTACIÓN CARTOGRÁFICA A TRAVÉS DE VECTORES LINEALES,,,,,
,I-376,1,Atlas de Riesgos,ACCIDENTES VIALES CICLISTAS 2014-2018,En proceso,(GTGIR)Gerencia Técnica de Gestión Integral del Riesgos.,(GTM) Gerencia Técnica de Movilidad.,,PMR,IVT,Diagnóstico,No se encontro,,"SETRAN, 2014-2018",,,REPRESENTACIÓN CARTOGRÁFICA A TRAVÉS DE VECTORES LINEALES,,,,,
,I-377,1,Atlas de Riesgos,ACCIDENTES VIALES DISCAPACITADOS 2014-2018,En proceso,(GTGIR)Gerencia Técnica de Gestión Integral del Riesgos.,(GTM) Gerencia Técnica de Movilidad.,,PMR,IVT,Diagnóstico,No se encontro,,"SETRAN, 2014-2018",,,REPRESENTACIÓN CARTOGRÁFICA A TRAVÉS DE VECTORES LINEALES,,,,,
,I-378,1,Atlas de Riesgos,COBERTURA DE DRENAJE 2018,En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,,GIA,DCU,Diagnóstico,No se encontro,,,,,,,,,,
,I-379,1,Atlas de Riesgos,"COBERTURA DE AGUA POTABLE  SIAPA, 2018",En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,,GIA,DCU,Diagnóstico,No se encontro,,,,,,,,,,
,I-380,1,Atlas de Riesgos,ANTIGUEDAD DE LA RED  DE AGUA POTABLE 2018,En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,,GIA,DCU,Diagnóstico,No se encontro,,,,,,,,,,
,I-381,1,Atlas de Riesgos,ANTIGUEDAD DE LA RED  DE DRENAJE 2018,En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,,GIA,DCU,Diagnóstico,No se encontro,,,,,,,,,,
,I-382,1,Atlas de Riesgos,RED DE COLECTORES SIAPA 2018,En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,,GIA,DCU,Base,No se encontro,,,,,,,,,,
,I-383,1,Atlas de Riesgos,"RED DE AGUA POTABLE SIAPA, 2018",En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,,GIA,DCU,Base,No se encontro,,,,,,,,,,
,I-384,1,Atlas de Riesgos,ZONAS DE INFLUENCIA DE PLANTAS DE TRATAMIENTO SIAPA 2018,En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,,GIA,DCU,Diagnóstico,No se encontro,,,,,,,,,,
,I-385,1,Atlas de Riesgos,"Inundaciones SIAPA, 2018",En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,,GIA,DCU,Diagnóstico,No se encontro,,,,,,,,,,
,I-386,1,Atlas de Riesgos,rango de inundaciones por centralidad,En proceso,(GTGIR)Gerencia Técnica de Gestión Integral del Riesgos.,,,POT,,Diagnóstico,No se encontro,,"SETRAN, 2014-2018",,,REPRESENTACIÓN CARTOGRÁFICA A TRAVÉS DE VECTORES LINEALES,,,,,
,I-387,1,Atlas de Riesgos,Cartografía y curvas de nivel peribús (radio 800 mts),En proceso,(GTM) Gerencia Técnica de Movilidad.,,,POT,IVT,Base,No se encontro,,,,,REPRESENTACIÓN CARTOGRÁFICA A TRAVÉS DE VECTORES LINEALES,,,,,
,I-388,1,Atlas de Riesgos,PREDIOS EN EL CORREDOR DE  PERIBÚS (RADIO 1KM),En proceso,(GTM) Gerencia Técnica de Movilidad.,,,IVT,SRT,Diagnóstico,No se encontro,,,,,REPRESENTACIÓN CARTOGRÁFICA A TRAVÉS DE VECTORES LINEALES,,,,,
,I-389,1,Atlas de Riesgos,INVENTARIO DE PELIGROS  METRPOLITANO INUNDACIONES,En proceso,(GTGIR)Gerencia Técnica de Gestión Integral del Riesgos.,,,PMR,,Diagnóstico,No se encontro,,,,,,,,,,
,I-390,1,POTmet,RUTAS COMPLEMENTARIAS DEFINIDAS EL 10 DE MAYO 2019 Y RUTAS COMPLEMENTARIAS SIN DEFINIR (SETRANS),En proceso,(GTM) Gerencia Técnica de Movilidad.,,,IVT,,Diagnóstico,No se encontro,,,,,,,,,,
,I-391,1,Atlas de Riesgos,EMERGENCIAS REGISTRADAS EN EL VIMOZmetro POR LA UPCyB DE SAN PEDRO TLAQUEPAQUE (CORTE 09/08/2019),En proceso,(GTGIR)Gerencia Técnica de Gestión Integral del Riesgos.,,,PMR,,Diagnóstico,No se encontro,,,,,,,,,,
,I-392,1,POTmet,propuesta de mapa base de transporte público en el area metropolitana de guadalajara 2019 - 2020,En proceso,(GTM) Gerencia Técnica de Movilidad.,,,IVT,,Diagnóstico,No se encontro,,,,,,,,,,
,I-393,1,Atlas de Riesgos,EMERGENCIAS REGISTRADAS EN EL VIMOZmetro POR LA UPCyB DE GUADALAJARA (CORTE 09/08/2019),En proceso,(GTGIR)Gerencia Técnica de Gestión Integral del Riesgos.,,,PMR,,Diagnóstico,No se encontro,,,,,,,,,,
,I-394,1,Atlas de Riesgos,EMERGENCIAS REGISTRADAS EN EL VIMOZmetro POR LA UPCyB DE TONALÁ (CORTE 09/08/2019),En proceso,(GTGIR)Gerencia Técnica de Gestión Integral del Riesgos.,,,PMR,,Diagnóstico,No se encontro,,,,,,,,,,
,I-395,1,Atlas de Riesgos,EMERGENCIAS REGISTRADAS EN EL VIMOZmetro AMG,En proceso,(GTGIR)Gerencia Técnica de Gestión Integral del Riesgos.,,,PMR,,Diagnóstico,No se encontro,,,,,,,,,,
,I-395,2,Atlas de Riesgos,EMERGENCIAS REGISTRADAS EN EL VIMOZmetro AMG (CORTE 16/07/2019),En proceso,(GTGIR)Gerencia Técnica de Gestión Integral del Riesgos.,,,PMR,,Diagnóstico,No se encontro,,,,,,,,,,
,I-395,3,Atlas de Riesgos,EMERGENCIAS REGISTRADAS EN EL VIMOZmetro AMG (CORTE 12/08/2019),En proceso,(GTGIR)Gerencia Técnica de Gestión Integral del Riesgos.,,,PMR,,Diagnóstico,No se encontro,,,,,,,,,,
,I-395,4,Atlas de Riesgos,EMERGENCIAS REGISTRADAS EN EL VIMOZmetro AMG (CORTE 19/08/2019),En proceso,(GTGIR)Gerencia Técnica de Gestión Integral del Riesgos.,,,PMR,,Diagnóstico,No se encontro,,,,,,,,,,
,I-395,5,Atlas de Riesgos,EMERGENCIAS REGISTRADAS EN EL VIMOZmetro AMG (CORTE 26/08/2019),En proceso,(GTGIR)Gerencia Técnica de Gestión Integral del Riesgos.,,,PMR,,Diagnóstico,No se encontro,,,,,,,,,,
,I-395,6,Atlas de Riesgos,EMERGENCIAS REGISTRADAS EN EL VIMOZmetro AMG (CORTE 03/09/2019),En proceso,(GTGIR)Gerencia Técnica de Gestión Integral del Riesgos.,,,PMR,,Diagnóstico,No se encontro,,,,,,,,,,
,I-395,7,Atlas de Riesgos,EMERGENCIAS REGISTRADAS EN EL VIMOZmetro AMG (CORTE 10/09/2019),En proceso,(GTGIR)Gerencia Técnica de Gestión Integral del Riesgos.,,,PMR,,Diagnóstico,No se encontro,,,,,,,,,,
,I-395,8,Atlas de Riesgos,EMERGENCIAS REGISTRADAS EN EL VIMOZmetro AMG (CORTE 17/09/2019),En proceso,(GTGIR)Gerencia Técnica de Gestión Integral del Riesgos.,,,PMR,,Diagnóstico,No se encontro,,,,,,,,,,
,I-396.1,1,POTmet,Mapa Base para la Cobertura del Transporte Público del Área Metropolitana de Guadalajara 2019-2020,Validado,(GTM) Gerencia Técnica de Movilidad.,,,IVT,,Base,,,,,,REPRESENTACIÓN CARTOGRÁFICA A TRAVÉS DE VECTORES LINEALES,https://drive.google.com/open?id=1G7z9DKae_q_GUaabMh0rV_FFBolVH1Ka,,,,
,I-396.2,1,POTmet,Mapa Base para la Cobertura del Transporte Público del Área Metropolitana de Guadalajara 2019-2020,Validado,,,,,,,,,,,,,https://drive.google.com/file/d/1Pu63xmKrKoX2z8DP7Zek6semnGSZDt8a/view?usp=sharing,,,,
,I-396.3,1,POTmet,Mapa Base para la Cobertura del Transporte Público del Área Metropolitana de Guadalajara 2019-2020,Validado,,,,,,,,,,,,,https://drive.google.com/file/d/14TwxlMtN6EsF_tHKSuJYsTaIyOlIPTOG/view?usp=sharing,,,,
,I-396.4,1,POTmet,Mapa Base para la Cobertura del Transporte Público del Área Metropolitana de Guadalajara 2019-2020,Validado,,,,,,,,,,,,,https://drive.google.com/file/d/1Q4rVh78KOMa3htfp-pwVTEIrkPs5-JTo/view?usp=sharing,,,,
,I-396.5,1,POTmet,Mapa Base para la Cobertura del Transporte Público del Área Metropolitana de Guadalajara 2019-2020,Validado,,,,,,,,,,,,,https://drive.google.com/file/d/1BlNmQdrPbYfOCPmZsY3eVNSQUdbOiZqN/view?usp=sharing,,,,
,I-397,1,POTmet,MAPA BASE POR MUNICIPIO PARA LA COBERTURA DEL TRANSPORTE PÚBLICO 2019 - 2020. EL SALTO,Validado,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,IVT,,Base,No se encontro,,,,,,,,,,
,I-398,1,POTmet,MAPA BASE POR MUNICIPIO PARA LA COBERTURA DEL TRANSPORTE PÚBLICO 2019 - 2020. GUADALAJARA,Validado,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,IVT,,Base,No se encontro,,,,,,,,,,
,I-399,1,POTmet,MAPA BASE POR MUNICIPIO PARA LA COBERTURA DEL TRANSPORTE PÚBLICO 2019 - 2020. IXTLAHUACÁN DE LOS MEMBRILLOS,Validado,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,IVT,,Base,No se encontro,,,,,,,,,,
05-may-16,I-400,1,POTmet,COBERTURA E INFRAESTRUCTURA DE  DRENAJE DEL MUNICIPIO DE IXTLAHUACÁN DE LOS MEMBRILLOS ,Validado,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Cuauhtémoc,PMR,GIA,Diagnóstico,,Información empirica del personal de la dirección de agua potable y drenaje del municipio,A partir de reuniones de trabajo con el personal de la dirección de agua potable y alcantarillado del municipio,Pública,,,https://drive.google.com/file/d/0BzTJ0k431IAqaUt1cjd0cVBuakU/view?usp=sharing,,,,
05-may-16,I-401,1,POTmet,COBERTURA E INFRAESTRUCTURA DE  DRENAJE DE LA LOCALIDAD DE ATEQUIZA,Validado,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Cuauhtémoc,PMR,GIA,Diagnóstico,,Información empirica del personal de la dirección de agua potable y drenaje del municipio,A partir de reuniones de trabajo con el personal de la dirección de agua potable y alcantarillado del municipio,Pública,,,https://drive.google.com/file/d/1m-D1Td2cz_c-0baQsDZPwXWixCfcBzsa/view?usp=sharing,,,,
03-feb-21,I-401,2,POTmet,COBERTURA E INFRAESTRUCTURA DE  DRENAJE DE LA LOCALIDAD DE ATEQUIZA,En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Cuauhtémoc,PMR,GIA,Diagnóstico,,Información compartida por la dirección de agua potable y alcantarillado del municipio de Ixtlahuacán de los Membrillos 2021,A partir de solicitudes de información,Pública,https://drive.google.com/file/d/1MX6LNrdB6MytuR5GjnhGOuJkTq8lLnHj/view?usp=sharing,https://drive.google.com/file/d/1JMJTYtIiXLGIsWAfWkvHcwt7iTD8Cyf3/view?usp=sharing,https://drive.google.com/file/d/1RXve7C5hPqw8G6MBJrB2g6wPNtzxzBbD/view?usp=sharing,,,,
05-may-16,I-402,1,POTmet,COBERTURA E INFRAESTRUCTURA DE  DRENAJE DE LA CABECERA MUNICIPAL DE IXTLAHUACÁN DE LOS MEMBRILLOS,Validado,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Cuauhtémoc,PMR,GIA,Diagnóstico,,Información empirica del personal de la dirección de agua potable y drenaje del municipio,A partir de reuniones de trabajo con el personal de la dirección de agua potable y alcantarillado del municipio,Pública,,,https://drive.google.com/file/d/0BzTJ0k431IAqTndpYXI5RElNaDA/view?usp=sharing,,,,
03-feb-21,I-402,2,POTmet,COBERTURA E INFRAESTRUCTURA DE  DRENAJE DE LA CABECERA MUNICIPAL DE IXTLAHUACÁN DE LOS MEMBRILLOS,En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Cuauhtémoc,PMR,GIA,Diagnóstico,,Información compartida por la dirección de agua potable y alcantarillado del municipio de Ixtlahuacán de los Membrillos 2021,A partir de solicitudes de información,Pública,https://drive.google.com/file/d/1_LgLn8LmAzbSPX2la0RuG3yHBQ6juooa/view?usp=sharing,https://drive.google.com/file/d/1ZR1ZJvFLtYDNeBwOFeg-7Y1rZpTLr9Nu/view?usp=sharing,https://drive.google.com/file/d/1nEQtQ7pVpyc2pVZ8VElQInX_HJAAIwR3/view?usp=sharing,,,,
05-may-16,I-403,1,POTmet,COBERTURA E INFRAESTRUCTURA DE AGUA POTABLE DEL MUNICIPIO DE IXTLAHUACÁN DE LOS MEMBRILLOS,Validado,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Cuauhtémoc,PMR,GIA,Diagnóstico,,Información empirica del personal de la dirección de agua potable y drenaje del municipio,A partir de reuniones de trabajo con el personal de la dirección de agua potable y alcantarillado del municipio,Pública,,,https://drive.google.com/file/d/1MshLqheaq6jev3l1CUUel8AUmTegO48x/view?usp=sharing,,,,
03-feb-21,I-403,2,POTmet,COBERTURA E INFRAESTRUCTURA DE AGUA POTABLE DEL MUNICIPIO DE IXTLAHUACÁN DE LOS MEMBRILLOS,En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Cuauhtémoc,PMR,GIA,Diagnóstico,,Información compartida por la dirección de agua potable y alcantarillado del municipio de Ixtlahuacán de los Membrillos 2021,A partir de solicitudes de información,Pública,https://drive.google.com/file/d/18P_IaPOR-0eUgnbEfYwUiUF5NEU9IDgJ/view?usp=sharing,https://drive.google.com/file/d/1TKihX0k3L298bkYzyiTAurGomoMVzTRj/view?usp=sharing,https://drive.google.com/file/d/1SMDtaFj0Vfx07LN26VU1mV6xtDhfUdKU/view?usp=sharing,,,,
